Running on: cuda:2

Optimizer       | Best Iters   | Best Loss    | Best Params
--------------------------------------------------------------------------------
Starting Grid Search for Muon (160 configs)...
lr: 6e-05, mom: 0.5, Iters: 5000, Loss: 0.009556
  [New Best] lr: 6e-05, mom: 0.5, Iters: 5000, Loss: 0.009556
lr: 6e-05, mom: 0.6, Iters: 5000, Loss: 0.009318
  [New Best] lr: 6e-05, mom: 0.6, Iters: 5000, Loss: 0.009318
lr: 6e-05, mom: 0.7, Iters: 5000, Loss: 0.009130
  [New Best] lr: 6e-05, mom: 0.7, Iters: 5000, Loss: 0.009130
lr: 6e-05, mom: 0.8, Iters: 5000, Loss: 0.008961
  [New Best] lr: 6e-05, mom: 0.8, Iters: 5000, Loss: 0.008961
lr: 6e-05, mom: 0.9, Iters: 5000, Loss: 0.008823
  [New Best] lr: 6e-05, mom: 0.9, Iters: 5000, Loss: 0.008823
lr: 6e-05, mom: 0.95, Iters: 5000, Loss: 0.008805
  [New Best] lr: 6e-05, mom: 0.95, Iters: 5000, Loss: 0.008805
lr: 7e-05, mom: 0.1, Iters: 5000, Loss: 0.007596
  [New Best] lr: 7e-05, mom: 0.1, Iters: 5000, Loss: 0.007596
lr: 7e-05, mom: 0.2, Iters: 5000, Loss: 0.005102
  [New Best] lr: 7e-05, mom: 0.2, Iters: 5000, Loss: 0.005102
lr: 7e-05, mom: 0.3, Iters: 5000, Loss: 0.003486
  [New Best] lr: 7e-05, mom: 0.3, Iters: 5000, Loss: 0.003486
lr: 7e-05, mom: 0.4, Iters: 5000, Loss: 0.002479
  [New Best] lr: 7e-05, mom: 0.4, Iters: 5000, Loss: 0.002479
lr: 7e-05, mom: 0.5, Iters: 5000, Loss: 0.001923
  [New Best] lr: 7e-05, mom: 0.5, Iters: 5000, Loss: 0.001923
lr: 7e-05, mom: 0.6, Iters: 5000, Loss: 0.001705
  [New Best] lr: 7e-05, mom: 0.6, Iters: 5000, Loss: 0.001705
lr: 7e-05, mom: 0.7, Iters: 5000, Loss: 0.001562
  [New Best] lr: 7e-05, mom: 0.7, Iters: 5000, Loss: 0.001562
lr: 7e-05, mom: 0.8, Iters: 5000, Loss: 0.001416
  [New Best] lr: 7e-05, mom: 0.8, Iters: 5000, Loss: 0.001416
lr: 7e-05, mom: 0.9, Iters: 5000, Loss: 0.001292
  [New Best] lr: 7e-05, mom: 0.9, Iters: 5000, Loss: 0.001292
lr: 7e-05, mom: 0.95, Iters: 5000, Loss: 0.001279
  [New Best] lr: 7e-05, mom: 0.95, Iters: 5000, Loss: 0.001279
lr: 7.999999999999999e-05, mom: 0.1, Iters: 5000, Loss: 0.007933
lr: 7.999999999999999e-05, mom: 0.2, Iters: 5000, Loss: 0.004845
lr: 7.999999999999999e-05, mom: 0.3, Iters: 5000, Loss: 0.002739
lr: 7.999999999999999e-05, mom: 0.4, Iters: 5000, Loss: 0.001501
lr: 7.999999999999999e-05, mom: 0.5, Iters: 4887, Loss: 0.000999
  [New Best] lr: 7.999999999999999e-05, mom: 0.5, Iters: 4887, Loss: 0.000999
lr: 7.999999999999999e-05, mom: 0.6, Iters: 4735, Loss: 0.000997
  [New Best] lr: 7.999999999999999e-05, mom: 0.6, Iters: 4735, Loss: 0.000997
lr: 7.999999999999999e-05, mom: 0.7, Iters: 4662, Loss: 0.000997
  [New Best] lr: 7.999999999999999e-05, mom: 0.7, Iters: 4662, Loss: 0.000997
lr: 7.999999999999999e-05, mom: 0.8, Iters: 4588, Loss: 0.000999
  [New Best] lr: 7.999999999999999e-05, mom: 0.8, Iters: 4588, Loss: 0.000999
lr: 7.999999999999999e-05, mom: 0.9, Iters: 4537, Loss: 0.000999
  [New Best] lr: 7.999999999999999e-05, mom: 0.9, Iters: 4537, Loss: 0.000999
lr: 7.999999999999999e-05, mom: 0.95, Iters: 4549, Loss: 0.000999
lr: 8.999999999999999e-05, mom: 0.1, Iters: 5000, Loss: 0.008714
